Participant_ID;Gender;Nationality;Age;Food;Juice;Dessert
FPS273;Male;Indian;23;Traditional food;Fresh Juice;Maybe
FPS274;Female;Indian;22;Traditional food;Fresh Juice;Maybe
FPS275;Male;Indian;29;Western Food;Fresh Juice;Maybe
FPS276;Male;Indian;30;Traditional food;Fresh Juice;Maybe
FPS277;Male;Indian;28;Traditional food;Carbonated drinks;Yes
FPS279;Male;Indian;25;Traditional food;Carbonated drinks;Yes
FPS280;Male;Indian;24;Traditional food;Fresh Juice;Maybe
FPS281;Male;Indian;25;Traditional food;Fresh Juice;Maybe
FPS282;Male;Indian;27;Traditional food;Fresh Juice;Maybe
FPS283;Male;Indian;27;Traditional food;Fresh Juice;No
FPS284;Male;Indian;27;Western Food;Fresh Juice;Yes
FPS285;Male;Indian;24;Traditional food;Fresh Juice;Yes
FPS286;Male;Indian;25;Traditional food;Fresh Juice;Yes
FPS287;Male;Indian;27;Traditional food;Fresh Juice;Yes
FPS288;Male;Indian;27;Traditional food;Fresh Juice;No
